feature,label,vs,spearman,pearson,p_spearman,n
oc_rvol_mean,Mean relative vol on OC-overlap days (primary),pnl_pct,0.017442908483400937,0.029553105133376025,0.21689730288570308,5012
oc_rvol_mean,Mean relative vol on OC-overlap days (primary),ann_ror_pct,0.019815793679552985,0.02621986050469064,0.16065735241753187,5012
oc_rvol_mean,Mean relative vol on OC-overlap days (primary),r_mult,0.022832531561903523,0.04608547150135538,0.10597784723302639,5012
oc_rvol_sum,Sum of relative vol on OC-overlap days,pnl_pct,0.003591628901521847,0.022435503180028585,0.7935161788073217,5313
oc_rvol_sum,Sum of relative vol on OC-overlap days,ann_ror_pct,0.016363750200014786,0.011448635949439121,0.23298911667664113,5313
oc_rvol_sum,Sum of relative vol on OC-overlap days,r_mult,-0.0038631525641520865,-0.019323511943876208,0.7782996606538788,5313
oc_rvol_max,Max relative vol on OC-overlap days,pnl_pct,0.006765394138790417,0.02740796618531646,0.6320277610827378,5012
oc_rvol_max,Max relative vol on OC-overlap days,ann_ror_pct,0.022217404508563195,0.013808183380809273,0.11572663832865748,5012
oc_rvol_max,Max relative vol on OC-overlap days,r_mult,0.009899689682677711,-0.005144386956347106,0.4834604362105903,5012
oc_overlap_n,Count of OC-overlap days,pnl_pct,-0.0016841903540315932,0.01787618155509908,0.9023143702625587,5313
oc_overlap_n,Count of OC-overlap days,ann_ror_pct,0.007834902844095146,0.00990768798429909,0.5680005447535967,5313
oc_overlap_n,Count of OC-overlap days,r_mult,-0.011555657695472078,-0.022194611095007324,0.3996797249575419,5313
log_oc_vol_sum,log1p sum of raw overlap volume,pnl_pct,0.010322728379569691,0.024125432694685336,0.4518553277603745,5313
log_oc_vol_sum,log1p sum of raw overlap volume,ann_ror_pct,0.011068279496938525,0.013423832146327305,0.41985773940019167,5313
log_oc_vol_sum,log1p sum of raw overlap volume,r_mult,0.002163451977367259,-0.010623816173530639,0.8747204577427958,5313
origin_rvol,Origin max-vol day relative volume,pnl_pct,0.0014449279214616391,0.02400639656499003,0.9161837387860099,5307
origin_rvol,Origin max-vol day relative volume,ann_ror_pct,0.0037302797104737605,0.003153683412833356,0.7858539158202194,5307
origin_rvol,Origin max-vol day relative volume,r_mult,0.000634477893127849,-0.0008840819279129356,0.9631408954464022,5307
touch_strength,Existing visit/hold strength score,pnl_pct,0.011155649719687565,0.018353960921989553,0.41619712910949525,5313
touch_strength,Existing visit/hold strength score,ann_ror_pct,0.01543921084579132,0.020284824724336317,0.2604655546992998,5313
touch_strength,Existing visit/hold strength score,r_mult,0.008382314815167276,-0.013439426531298053,0.5412683447759801,5313
touch_count_all,Existing pre-entry visit count,pnl_pct,-0.022660966371289223,0.002413553510036918,0.09855931068892465,5313
touch_count_all,Existing pre-entry visit count,ann_ror_pct,-0.01259241542080254,0.009813685949462143,0.3587417575668057,5313
touch_count_all,Existing pre-entry visit count,r_mult,-0.01690542350170702,-0.017267947654147048,0.21787960796213124,5313
