arm,n,wr,avg_pnl,med_pnl,avg_r,ann_ror,avg_days,is_n,is_wr,is_avg_pnl,is_avg_r,is_ann_ror,oos_n,oos_wr,oos_avg_pnl,oos_avg_r,oos_ann_ror,max_dd,calmar,avg_conc,is_max_dd,is_calmar,oos_max_dd,oos_calmar,universe,knob,lean
DualPaul78 CONTROL rw126,5313,0.5070581592320723,2.763111274233014,0.435,0.3433363824581216,64.24811454146973,20.049124788255224,4486,0.48996879179670083,2.3093298930004456,0.2831115024520731,50.62789998254542,827,0.599758162031439,5.224614631197098,0.6700217654171704,173.76889045934857,38.4500082238217,1.6709519063682494,14.525782569164827,39.01963373818905,1.2974980832020266,5.183489900506394,33.523532175180364,DualPaul78,rw126 control · original cluster (83 names),control
DualPaul78 H1 rvol>=4,1655,0.5039274924471299,3.0751103927492442,0.2662,0.32924465256797586,69.3905400086638,20.97583081570997,1455,0.4948453608247423,2.7090185567010305,0.2833167010309278,58.93333471290205,200,0.57,5.7384285,0.6633705000000001,171.64610051290552,17.659840389534757,3.9292846638514765,4.736910653816098,17.67415888098322,3.334435042128781,5.424092016866783,31.645130646595586,DualPaul78,origin_rvol >= 4.0 · original cluster (83 names),PASS — DD gap survives
SPX500 CONTROL rw126,28114,0.4873372696877001,1.4906490040549192,-0.62725,0.2443329906807996,27.97556231616687,21.89457209930995,24451,0.4896323258762423,1.492026501983559,0.24514747454091854,27.503673073119494,3663,0.472017472017472,1.4814540267540268,0.23889620529620528,31.62020306338953,39.84737636387924,0.7020678616503869,83.54854620976116,39.78237022009974,0.6913533035098917,16.016124424311208,1.974273065423528,SPX500,rw126 control · current S&P 500 constituents (broader proxy for FullOHLC),control
SPX500 H1 rvol>=4,4897,0.5023483765570758,1.8104340820910763,0.0845,0.24948488870737184,30.751848620757706,24.42454564018787,4317,0.4996525364836692,1.7291675005791058,0.24414521658559182,28.806184329737718,580,0.5224137931034483,2.415309655172414,0.28922862068965516,47.97968917953923,32.38147600607593,0.9496740857330763,16.17145083777114,32.17809293626503,0.8952110489205798,10.50730846700177,4.5663158486514,SPX500,origin_rvol >= 4.0 · current S&P 500 constituents (broader proxy for FullOHLC),"HOLD — calmer, gap shrinks"
SPX_ex_DP78 CONTROL rw126,26533,0.4850940338446463,1.411967696830362,-0.7272,0.2375827761655297,26.32507528611141,21.899408284023668,23108,0.48844555997922795,1.4380163449887484,0.2412614289423576,26.38617254416311,3425,0.46248175182481754,1.236221080291971,0.21276341605839416,25.85164346009874,41.696156145164245,0.6313549669773214,78.86682242990655,41.587984608238735,0.6344662477088613,17.05661528051051,1.515637366203466,SPX_ex_DP78,rw126 control · SPX500 minus DualPaul78 — clustering check,control
SPX_ex_DP78 H1 rvol>=4,4594,0.5026121027427078,1.7265107749238138,0.09465,0.2525723117109273,29.02970843214707,24.514148889856333,4051,0.49962972105652925,1.6504366329301408,0.24673897803011602,27.227463392252726,543,0.5248618784530387,2.294054696132597,0.2960913443830571,44.97518807220489,36.36777799499457,0.7982260680359008,15.224314846083907,36.12234346434259,0.7537568380393078,9.788154173825339,4.594858976830766,SPX_ex_DP78,origin_rvol >= 4.0 · SPX500 minus DualPaul78 — clustering check,FAIL — DD gap gone (clustering)
DP78_in_SPX CONTROL rw126,1581,0.5249841872232764,2.8111114484503483,1.1895,0.3576179000632511,59.02453764264774,21.813409234661606,1343,0.5100521221146687,2.4213390171258378,0.3120117647058823,48.370960687100585,238,0.6092436974789915,5.010541596638655,0.6149668067226891,143.97068664915008,21.8120257350174,2.7060548323069664,4.6920775334981135,22.013235572252043,2.1973580634403778,7.562828683795944,19.036618792862587,DP78_in_SPX,rw126 control · DualPaul78 names that are also in SPX500,control
DP78_in_SPX H1 rvol>=4,303,0.49834983498349833,3.0828554455445545,-0.2862,0.20267425742574258,61.68295481079134,23.066006600660067,266,0.5,2.9281853383458647,0.20464398496240602,57.12731628257623,37,0.4864864864864865,4.194808108108108,0.1885135135135135,102.23294327532156,35.1099,1.7568536170935072,0.9524555903866249,35.1099,1.6270999428245658,28.549623414211016,3.580885876919607,DP78_in_SPX,origin_rvol >= 4.0 · DualPaul78 names that are also in SPX500,FAIL — DD gap gone (clustering)
