arm,n,wr,avg_pnl,med_pnl,avg_r,ann_ror,avg_days,is_n,is_wr,is_avg_pnl,is_avg_r,is_ann_ror,oos_n,oos_wr,oos_avg_pnl,oos_avg_r,oos_ann_ror,max_dd,calmar,avg_conc,is_max_dd,is_calmar,oos_max_dd,oos_calmar,knob,hyp,lean
BEFORE CONTROL rw126,5313,0.5070581592320723,2.7631112742330135,0.435,0.3433363824581216,64.24811454146973,20.049124788255224,4486,0.48996879179670083,2.309329893000446,0.2831115024520731,50.62789998254542,827,0.599758162031439,5.224614631197098,0.6700217654171706,173.76889045934857,38.4500082238217,1.6709519063682494,14.525782569164827,39.01963373818905,1.2974980832020266,5.183489900506394,33.523532175180364,retest_window=126 (playbook control),before,control
AFTER CONTROL rw63,4826,0.5082884376295068,2.849029527559055,0.522,0.34593986738499793,66.92177278879743,20.012639867384998,4051,0.4895087632683288,2.3568657368550974,0.2794228338681808,52.03456443132646,775,0.6064516129032258,5.421617290322581,0.6936308387096775,182.89452498299275,38.213334142889096,1.7512675690260469,13.17145083777114,38.9193383206549,1.3369848172293095,5.230337501937334,34.96801591011059,retest_window=63 (adopted freeze),after,DISMISS (no change)
H1 ORIGIN_RVOL>=4 on rw126,1655,0.5039274924471299,3.0751103927492447,0.2662,0.3292446525679759,69.3905400086638,20.97583081570997,1455,0.4948453608247423,2.709018556701031,0.2833167010309278,58.93333471290205,200,0.57,5.7384285,0.6633704999999999,171.64610051290552,17.659840389534757,3.9292846638514765,4.736910653816098,17.67415888098322,3.334435042128781,5.424092016866783,31.645130646595586,origin_rvol >= 4.0 on rw126,h1,HOLD (weak)
H1 rvol>=4 + rw63,1520,0.5052631578947369,3.1566120394736843,0.3151,0.32325743421052633,71.27974947368519,21.079605263157895,1329,0.49435665914221216,2.791805568096313,0.26980880361173815,60.67692184387508,191,0.581151832460733,5.694977486910995,0.6951591623036649,170.8700858760428,20.58898487445623,3.4620332137947494,4.371060171919771,20.647501911845158,2.938705229472126,5.7095443939873,29.927096469551135,origin_rvol >= 4.0 and rw63,stack,HOLD (weak)
