arm,n,wr,avg_pnl,med_pnl,avg_r,ann_ror,avg_days,is_n,is_wr,is_avg_pnl,is_avg_r,is_ann_ror,oos_n,oos_wr,oos_avg_pnl,oos_avg_r,oos_ann_ror,max_dd,calmar,avg_conc,is_max_dd,is_calmar,oos_max_dd,oos_calmar,knob,hyp,lean
CONTROL mt>=1,5313,0.5070581592320723,2.7631112742330135,0.435,0.3433363824581216,64.24811454146973,20.049124788255224,4486,0.48996879179670083,2.309329893000446,0.2831115024520731,50.62789998254542,827,0.599758162031439,5.224614631197098,0.6700217654171706,173.76889045934857,38.4500082238217,1.6709519063682494,14.525782569164827,39.01963373818905,1.2974980832020266,5.183489900506394,33.523532175180364,none (rw126 v2),control,control
H1 ORIGIN_RVOL>=2.5,3631,0.5075736711649683,2.7560518865326356,0.3941,0.3326808041861746,61.75955786502681,20.63343431561553,3070,0.49120521172638437,2.2762501628664493,0.27265192182410425,48.18400988568978,561,0.5971479500891266,5.381704812834224,0.6611811051693405,170.35985602539654,27.728728795702075,2.227276927119698,10.202753604364203,28.167027343961752,1.7106530020825619,6.705719206024641,25.405158013824913,origin_rvol >= 2.5,H1,DISMISS
H1 ORIGIN_RVOL>=4.0,1655,0.5039274924471299,3.0751103927492447,0.2662,0.3292446525679759,69.3905400086638,20.97583081570997,1455,0.4948453608247423,2.709018556701031,0.2833167010309278,58.93333471290205,200,0.57,5.7384285,0.6633704999999999,171.64610051290552,17.659840389534757,3.9292846638514765,4.736910653816098,17.67415888098322,3.334435042128781,5.424092016866783,31.645130646595586,origin_rvol >= 4.0,H1,HOLD (weak)
H2 MT0 drop prior-touch,6013,0.4904373856643938,2.4491668385165477,-0.5356,0.3233214036254782,56.69561511823646,19.663894894395476,5081,0.47510332611690614,2.0373658531785077,0.27047573312340084,44.308979938589,932,0.5740343347639485,4.694189163090129,0.6114210300429184,161.09936230645081,41.24645154274979,1.374557398215806,16.136623376623376,41.74470219864687,1.0614276208688644,5.42989019999017,29.66899078488594,min_touches 1→0,H2,DISMISS
H2 NAKED only,2684,0.46982116244411326,2.045722578241431,-1.397,0.295572131147541,46.09113351294314,19.499627421758568,2278,0.4552238805970149,1.7152442054433714,0.24930460930640916,36.790380559939464,406,0.5517241379310345,3.899983004926108,0.5551716748768473,119.79930673393477,61.40228237850314,0.7506420238391592,7.160463300364394,62.33515010782686,0.5902028068641809,12.77143093567052,9.380257180057727,mt=0 and touch_count_all==0,H2,DISMISS
H3 RETEST/ORIGIN<=0.5,4079,0.5064966903652857,2.7279613875949993,0.3941,0.3311792105908311,60.64648440059042,20.723461632753125,3484,0.48794489092996557,2.22418840413318,0.262661251435132,46.507282739088595,595,0.6151260504201681,5.677785042016806,0.7323835294117647,189.52016977377698,39.32141446921115,1.5423271319010383,11.50928692037927,39.69477004861066,1.1716224248719733,4.224780425344578,44.85917626318283,signal_vol / origin_vol <= 0.5,H3,DISMISS
H3 SIGNAL_RVOL<1,2774,0.4971160778658976,2.473230605623648,-0.07135,0.3007273251622206,55.421287147402175,20.222422494592646,2343,0.47631241997439183,1.934318053777209,0.23529300042680326,40.40172120824692,431,0.6102088167053364,5.402864269141531,0.6564410672853829,188.4530675660151,49.25713873854129,1.1251422345414825,7.655526657997399,50.02165329575021,0.8076846434757766,5.588388785518262,33.72225426662725,signal_rvol < 1.0,H3,DISMISS
