Stock	Entry Date	Entry Price	Exit Date	Exit Price	Profit %	Days In Trade	Result	Profit per trade
CLF	11/6/2024	$14.00	11/12/2024	$12.22	-12.74%	6	LOSS	-$6,050.41
CORT	1/2/2024	$24.35	5/28/2024	$32.00	31.42%	147	WIN	$14,923.00
CORT	7/12/2022	$25.93	12/5/2022	$23.70	-8.58%	146	LOSS	-$4,076.02
CORT	9/8/2025	$71.26	12/31/2025	$62.88	-11.76%	114	LOSS	-$5,587.96
CORT	4/26/2023	$22.36	8/3/2023	$28.84	29.00%	99	WIN	$13,775.00
CORT	6/8/2020	$14.75	8/21/2020	$12.90	-12.55%	74	LOSS	-$5,962.33
CORT	1/5/2023	$20.71	3/1/2023	$18.47	-10.79%	55	LOSS	-$5,127.25
CORT	5/12/2022	$18.85	6/27/2022	$24.32	29.00%	46	WIN	$13,775.00
CORT	10/5/2020	$17.67	11/19/2020	$22.79	29.00%	45	WIN	$13,775.00
CORT	4/8/2020	$11.79	5/21/2020	$15.21	29.00%	43	WIN	$13,775.00
CORT	11/13/2023	$25.44	12/22/2023	$32.82	29.00%	39	WIN	$13,775.00
CORT	4/1/2022	$23.65	5/6/2022	$20.78	-12.13%	35	LOSS	-$5,761.26
CORT	9/4/2024	$34.74	9/30/2024	$44.81	29.00%	26	WIN	$13,775.00
CORT	8/28/2020	$12.60	9/2/2020	$16.25	29.00%	5	WIN	$13,775.00
ESEA	2/17/2023	$14.49	6/7/2023	$18.69	29.00%	110	WIN	$13,775.00
ESEA	6/14/2023	$17.28	8/29/2023	$22.29	29.00%	76	WIN	$13,775.00
ESEA	3/21/2019	$4.77	5/31/2019	$3.84	-19.52%	71	LOSS	-$9,273.55
ESEA	8/5/2024	$31.72	10/2/2024	$40.92	29.00%	58	WIN	$13,775.00
ESEA	9/11/2019	$4.36	11/6/2019	$3.84	-11.96%	56	LOSS	-$5,678.86
ESEA	9/22/2023	$21.02	11/9/2023	$18.62	-11.40%	48	LOSS	-$5,414.46
ESEA	11/10/2023	$20.10	12/21/2023	$25.93	29.00%	41	WIN	$13,775.00
ESEA	7/9/2019	$4.55	8/5/2019	$3.67	-19.33%	27	LOSS	-$9,180.34
ESEA	8/5/2022	$20.43	8/30/2022	$18.08	-11.49%	25	LOSS	-$5,458.57
ESEA	4/23/2025	$30.22	5/16/2025	$38.98	29.00%	23	WIN	$13,775.00
ESEA	12/30/2020	$4.59	1/11/2021	$5.92	29.00%	12	WIN	$13,775.00
ESEA	12/5/2024	$32.64	12/11/2024	$29.63	-9.23%	6	LOSS	-$4,385.48
ESEA	9/13/2022	$19.06	9/16/2022	$17.48	-8.32%	3	LOSS	-$3,949.68
ESEA	10/25/2022	$16.53	10/28/2022	$14.99	-9.31%	3	LOSS	-$4,423.28
EXTR	7/5/2024	$13.05	10/30/2024	$16.83	29.00%	117	WIN	$13,775.00
EXTR	5/22/2025	$15.45	8/6/2025	$20.50	32.69%	76	WIN	$15,525.89
EXTR	11/10/2025	$18.25	1/2/2026	$16.41	-10.08%	53	LOSS	-$4,788.05
EXTR	3/8/2021	$8.35	4/28/2021	$10.77	29.00%	51	WIN	$13,775.00
EXTR	12/11/2024	$17.80	1/27/2025	$16.19	-9.07%	47	LOSS	-$4,306.44
EXTR	2/4/2022	$12.19	2/23/2022	$11.11	-8.82%	19	LOSS	-$4,190.44
EXTR	10/13/2022	$13.43	10/28/2022	$17.32	29.00%	15	WIN	$13,775.00
EXTR	10/30/2025	$18.87	11/7/2025	$17.13	-9.22%	8	LOSS	-$4,381.08
EXTR	1/2/2024	$17.65	1/9/2024	$16.16	-8.45%	7	LOSS	-$4,014.76
EXTR	6/7/2022	$10.08	6/13/2022	$9.19	-8.82%	6	LOSS	-$4,191.31
FANG	3/16/2023	$125.11	10/12/2023	$161.39	29.00%	210	WIN	$13,775.00
FANG	11/17/2023	$157.03	4/3/2024	$202.57	29.00%	138	WIN	$13,775.00
FANG	8/5/2022	$121.40	10/26/2022	$156.61	29.00%	82	WIN	$13,775.00
FANG	4/21/2021	$75.58	7/1/2021	$97.50	29.00%	71	WIN	$13,775.00
FANG	5/12/2022	$129.86	7/5/2022	$113.79	-12.38%	54	LOSS	-$5,878.35
FANG	1/19/2023	$146.65	3/13/2023	$132.41	-9.71%	53	LOSS	-$4,611.31
FANG	9/9/2021	$77.38	10/4/2021	$100.44	29.80%	25	WIN	$14,155.47
FANG	7/26/2021	$79.00	8/16/2021	$72.95	-7.65%	21	LOSS	-$3,634.81
Googl	8/21/2023	$128.51	4/26/2024	$174.37	35.69%	249	WIN	$16,950.82
Googl	7/9/2025	$175.63	9/3/2025	$226.56	29.00%	56	WIN	$13,775.00
Googl	5/4/2022	$120.20	5/20/2022	$107.52	-10.55%	16	LOSS	-$5,009.99
META	1/15/2021	$256.90	4/29/2021	$331.40	29.00%	104	WIN	$13,775.00
META	12/6/2021	$321.57	2/3/2022	$286.12	-11.02%	59	LOSS	-$5,236.19
META	4/22/2025	$528.53	6/4/2025	$681.80	29.00%	43	WIN	$13,775.00
MOS	5/7/2025	$32.16	10/30/2025	$27.51	-14.47%	176	LOSS	-$6,873.47
MOS	7/8/2021	$31.29	10/8/2021	$40.36	29.00%	92	WIN	$13,775.00
MOS	12/2/2021	$34.74	2/7/2022	$44.81	29.00%	67	WIN	$13,775.00
MOS	12/1/2023	$36.35	1/10/2024	$33.46	-7.96%	40	LOSS	-$3,781.86
MOS	4/10/2023	$45.25	5/4/2023	$40.98	-9.43%	24	LOSS	-$4,478.21
MOS	2/13/2025	$26.60	2/28/2025	$24.22	-8.95%	15	LOSS	-$4,252.46
MOS	3/21/2023	$45.46	3/24/2023	$41.76	-8.14%	3	LOSS	-$3,866.93
MSFT	8/18/2023	$317.93	1/30/2024	$412.26	29.67%	165	WIN	$14,093.28
MSFT	7/14/2022	$255.72	10/10/2022	$229.71	-10.17%	88	LOSS	-$4,831.74
MSFT	3/13/2023	$256.75	5/26/2023	$331.21	29.00%	74	WIN	$13,775.00
MSFT	12/8/2022	$244.70	1/4/2023	$227.02	-7.23%	27	LOSS	-$3,432.34
MSFT	10/26/2022	$231.04	11/3/2022	$214.88	-7.00%	8	LOSS	-$3,323.18
NFLX	11/10/2020	$48.30	10/4/2021	$62.31	29.00%	328	WIN	$13,775.00
NFLX	10/30/2023	$40.92	1/24/2024	$53.78	31.43%	86	WIN	$14,927.91
NFLX	6/17/2019	$35.56	7/19/2019	$31.95	-10.15%	32	LOSS	-$4,819.27
NVDA	5/23/2025	$134.15	7/17/2025	$173.05	29.00%	55	WIN	$13,775.00
NVDA	1/28/2021	$13.08	3/4/2021	$12.10	-7.46%	35	LOSS	-$3,542.02
NVDA	12/28/2022	$14.40	1/23/2023	$18.58	29.00%	26	WIN	$13,775.00
NVDA	3/8/2022	$22.39	3/29/2022	$28.88	29.00%	21	WIN	$13,775.00
NVDA	5/15/2023	$28.84	5/25/2023	$38.52	33.56%	10	WIN	$15,943.13
SBS	5/25/2023	$10.41	11/22/2023	$13.47	29.39%	181	WIN	$13,962.54
SBS	8/5/2024	$15.74	12/18/2024	$14.13	-10.22%	135	LOSS	-$4,854.36
SBS	3/5/2025	$16.34	5/21/2025	$21.08	29.00%	77	WIN	$13,775.00
SBS	7/7/2022	$7.97	9/9/2022	$10.28	29.00%	64	WIN	$13,775.00
SBS	1/24/2023	$10.43	3/21/2023	$9.48	-9.11%	56	LOSS	-$4,326.01
SBS	3/15/2022	$8.22	4/1/2022	$10.60	29.00%	17	WIN	$13,775.00
SBS	9/16/2022	$8.72	10/3/2022	$11.25	29.00%	17	WIN	$13,775.00
SBS	6/28/2021	$7.67	7/6/2021	$7.12	-7.21%	8	LOSS	-$3,424.21
SBS	10/1/2021	$6.97	10/6/2021	$6.54	-6.20%	5	LOSS	-$2,944.05
SHOP	3/26/2021	$105.36	6/16/2021	$135.91	29.00%	82	WIN	$13,775.00
SHOP	2/14/2024	$80.24	4/10/2024	$72.37	-9.81%	56	LOSS	-$4,661.01
SHOP	6/23/2025	$112.23	8/6/2025	$145.16	29.34%	44	WIN	$13,937.23
SHOP	2/1/2021	$116.65	3/5/2021	$102.71	-11.95%	32	LOSS	-$5,675.58
SHOP	12/21/2021	$135.95	1/4/2022	$121.86	-10.36%	14	LOSS	-$4,923.31
SHOP	8/27/2024	$74.23	9/6/2024	$68.05	-8.32%	10	LOSS	-$3,953.81
SHOP	3/18/2020	$33.62	3/25/2020	$43.59	29.65%	7	WIN	$14,086.11
SNDX	1/26/2024	$20.23	9/11/2024	$18.30	-9.55%	229	LOSS	-$4,538.54
SNDX	12/12/2022	$23.89	4/10/2023	$19.47	-18.49%	119	LOSS	-$8,780.44
SNDX	1/28/2022	$15.54	5/12/2022	$13.60	-12.49%	104	LOSS	-$5,932.79
SNDX	9/8/2021	$17.79	11/29/2021	$15.82	-11.06%	82	LOSS	-$5,254.74
SNDX	5/30/2023	$19.99	8/8/2023	$18.33	-8.28%	70	LOSS	-$3,933.97
SNDX	9/23/2022	$22.96	11/16/2022	$20.79	-9.45%	54	LOSS	-$4,487.59
SNDX	8/9/2023	$18.64	9/12/2023	$16.86	-9.56%	34	LOSS	-$4,539.26
SNDX	9/22/2025	$14.81	10/24/2025	$13.57	-8.37%	32	LOSS	-$3,973.77
SNDX	7/12/2022	$18.49	8/5/2022	$23.85	29.00%	24	WIN	$13,775.00
SNDX	6/14/2022	$15.89	7/5/2022	$20.50	29.00%	21	WIN	$13,775.00
SNDX	12/2/2021	$16.32	12/20/2021	$21.05	29.00%	18	WIN	$13,775.00
SNDX	9/19/2023	$17.04	9/27/2023	$15.56	-8.68%	8	LOSS	-$4,124.36
